source_type,source_name,topic,avg_sentiment_score,quantile_sentiment_scaled,sentiment_label
news,NPR,topic_Baptist,0.04794532157165059,0.11186440677966102,neutral
news,NPR,topic_Buddhism,0.1359008392975784,0.6335216572504708,positive
news,NPR,topic_Christian_Orthodoxy,0.06185596043688503,0.17124921531701193,neutral
news,NPR,topic_Christianity,0.06859359002405055,0.20502197112366605,neutral
news,NPR,topic_Christmas,0.11375275065169607,0.5063402385436284,positive
news,NPR,topic_Dating_and_Relationships,0.10945010371572869,0.47570621468926555,positive
news,NPR,topic_HIV_and_AIDS,0.07106942259142277,0.21833019460138103,neutral
news,NPR,topic_Hanukkah,0.11633860152779318,0.5231638418079096,positive
news,NPR,topic_LGBTQ,0.08464716702653943,0.30910232266164467,neutral
news,NPR,topic_abortion,0.09057516462659211,0.3456371625863151,positive
news,NPR,topic_accident_and_emergency_incident,0.060451652494954634,0.1662272441933459,neutral
news,NPR,topic_addiction,0.0982545459389572,0.3978656622724419,positive
news,NPR,topic_adoption,0.10075079776707553,0.41506591337099813,positive
news,NPR,topic_advertising,0.09579696350232846,0.3814187068424357,positive
news,NPR,topic_aerospace,0.08749642265359554,0.3271814187068424,neutral
news,NPR,topic_agriculture,0.09269675834498911,0.3613308223477715,positive
news,NPR,topic_alexandria_ocasio-cortez,0.07316374972512613,0.23088512241054615,neutral
news,NPR,topic_ali_khamenei,0.01664226505288047,0.02849968612680477,neutral
news,NPR,topic_animal,0.10886155081234707,0.47231638418079097,positive
news,NPR,topic_animal_disease,0.09508038929347207,0.376271186440678,positive
news,NPR,topic_anti-trust_crime,0.09476748755751577,0.37376020087884493,positive
news,NPR,topic_antitrust_regulations,0.0893155069452461,0.3370998116760829,positive
news,NPR,topic_apprenticeship,0.11941418701206404,0.5436911487758945,positive
news,NPR,topic_aquaculture,0.07937727954055537,0.2709353421217828,neutral
news,NPR,topic_arbitration_and_mediation,0.05121593031538123,0.1221594475831764,neutral
news,NPR,topic_armed_conflict,0.05092601418254865,0.12102950408035154,neutral
news,NPR,topic_armed_forces,0.05227720007875388,0.1275580665411174,neutral
news,NPR,topic_arrest,0.0035857344409975737,0.006026365348399247,neutral
news,NPR,topic_arson,0.031158317704774913,0.060263653483992465,neutral
news,NPR,topic_artificial_intelligence,0.08973397043830049,0.3398618957940992,positive
news,NPR,topic_assault,0.07598979001724725,0.24821092278719398,neutral
news,NPR,topic_asset_management,0.028921683210468865,0.05411173885750157,neutral
news,NPR,topic_astronomy,0.11115998085490429,0.48951663527934713,positive
news,NPR,topic_automotive,0.11260900437081085,0.49918392969240427,positive
news,NPR,topic_banking,0.11884952084952079,0.5403640929064658,positive
news,NPR,topic_bankruptcy,0.08421875274081732,0.30533584431889516,neutral
news,NPR,topic_belief_systems,0.07535642783849696,0.24469554300062774,neutral
news,NPR,topic_benjamin_netanyahu,0.05374696870242358,0.13283113622096673,neutral
news,NPR,topic_bernie_sanders,0.10702649924010026,0.4617702448210923,positive
